,title,description,max_salary,pay_period,location,med_salary,min_salary,formatted_work_type,applies,remote_allowed,job_posting_url,application_url,application_type,expiry,closed_time,formatted_experience_level,skills_desc,work_type,currency,compensation_type,normalized_salary
77052,"Psychiatric-Mental Health Physician - $900/daily - $1,100/daily","DocCafe has an immediate opening for the following position: Physician - Psychiatric-Mental Health in Reno, Nevada.

Make $900/daily - $1,100/daily.

DocCafe is the premier physician and advanced practice job board to help you advance your healthcare career.

Register now to apply for this job and for access to 125,000+ other openings.

DocCafe Offers:

Free Physician and Advanced Practice Job Search

Easily search, review and apply to jobs that meet your requirements. Plus, set up e-mail alerts for when new jobs are added that meet your search criteria. 

Professional Profile

Attract employers with a profile page that includes your CV, credentials and other medical professional information. 

Confidentiality

Decide which information you want to share and when you appear in an employer’s search results. 

Career Matching Support

Our experienced team can match you to your dream physician or PA job based on your unique preferences. 

Get started with DocCafe today.",,,"Reno, NV",,,Full-time,,,https://www.linkedin.com/jobs/view/3903478125/?trk=jobs_biz_prem_srch,https://www.doccafe.com/job/physician/psychiatric-mental-health/19187351/moonlighting-gig-in-reno-nv-local-psychiatrist-needed-1-2-days-mo?a_aid=linkedinSponsored&utm_source=linkedin&utm_campaign=sponsored&utm_medium=feed&utm_term=19187351,OffsiteApply,1716051748000.0,,Mid-Senior level,,FULL_TIME,,,
68372,Maintenance - Level I,"With a culture of recognition and reputation for excellence, ELS is the ideal organization in which to develop a long and successful career!

ELS is hiring for the position of Maintenance - Level I in Cloverdale, California.

What You’ll Do

As a Maintenance Worker you perform various maintenance duties requiring technical labor skills, including HVAC repairs and adjustments, plumbing, light carpentry/construction, appliance repair, groundskeeping and more. You work as a team participant along with the Maintenance Supervisor to ensure the community meets the quality maintenance standards set by ELS.

Your Job Will Include

Work closely with management to maintain a clean, safe and appealing property. Attend morning staff meetings to communicate daily vendor appointments and required work. Communicate regularly and professionally with other maintenance workers, management and staff and work closely with them on all special maintenance projects. Maintain grounds and common areas and keep them free from trash and debris. Report maintenance concerns directly to management and perform repairs. Mow, weed, edge and otherwise maintain common areas and vacant lot grounds. Conduct irrigation systems repairs. You will be required to move heavy objects and you may drive maintenance trucks to various locations on the property. Monitor and control maintenance inventory and supplies. Perform other miscellaneous duties as assigned. 

Skills & Experience You Need

High school diploma or the equivalent experience. 1-3 years of direct technical work experience in applicable areas, including irrigation repairs, plumbing, carpentry, HVAC, etc. Ability to lift up to 50 pounds and work with heavy equipment. Valid driver’s license, good driving record and current auto insurance. Willing to be on call for emergencies that arise after hours. 

In return for your excellent skills and abilities, we offer a comprehensive benefits package including: medical, dental, and vision plans, a generous 401(k) employer match, and paid vacations, holidays, and sick time.

We invite you to visit our web site at www.equitylifestyleproperties.com for additional information regarding our exceptional resort communities.

As an Equal Opportunity Employer, we welcome and thank all applicants.

Estimated compensation for this position in the states of CA, WA, NY, and CO, is:

: $18.00 - $19.00

The salary listed is an estimate and not guaranteed. A salary offer will vary based on applicant’s education, experience, skills, abilities, geographic location, internal equity and alignment with market data.",19.0,HOURLY,"Cloverdale, CA",,18.0,Full-time,,,https://www.linkedin.com/jobs/view/3902762038/?trk=jobs_biz_prem_srch,https://equitylifestyleproperties.wd5.myworkdayjobs.com/en-US/ELS/job/Cloverdale-CA/Maintenance---Level-I_R241921,OffsiteApply,1715987233000.0,,Entry level,,FULL_TIME,USD,BASE_SALARY,38480.0
77663,General Manager,"Description

Who Are We:

Founded in 2010, Grand Fitness Partners is a leading Planet Fitness Franchisee, owning and operating 66+ locations. We strive to achieve Planet Fitness’ mission to enhance people’s lives by providing a high-quality fitness experience in a welcoming, non-intimidating environment.

Who You Are

All of our Team Members at Planet Fitness share one thing in common – a passion for our amazing brand and a desire to make our members feel welcome in our Judgement Free Zone®

The General Manager will be responsible for the oversight of gym operations to ensure an exceptional “Judgement Free” member experience as well as a financially successful club. The General Manager will be accountable for leading a team of employees in a positive, motivating manner with continuous assistance in employee training and development.

Benefits

On-Demand Pay Competitive pay plus bonus potential Medical, Dental and Vision insuranceVacation/Holiday/Sick Time PayEmployee perks and discount programFree Black Card Membership401(K) Plan 

As The General Manager You Will

Create and maintain a welcoming atmosphere for all members, prospective members and guests and ensure staff follow superior customer service guidelines. Manage day-to-day club operations. Provide leadership within a team to set and achieve club goals. Recruit, onboard, and train high-performing employees. Delegate responsibilities to club staff and enforce all PF policies and procedures. Track club and employee statistics and reports (weekly, monthly, annually). Administration and processing of all weekly/bi-weekly employee payroll and ensuring payroll is within budget. Coach and counsel team members through disciplinary process up to termination. Execute retail transactions with accuracy and drive sales goals. 

Requirements

What you bring to the table: 

1+ years of Customer Service experience2-3 years of experience supervising and leading a teamMust be 18 years of ageAssociates or Bachelor's degree are preferredWilling to become CPR/AED Certified (Training provided by Planet Fitness)Strong customer service skillsStrong problem resolution skillsStrong verbal and written communication skillsBasic computer proficiency (Microsoft Suite)Ability to lift up to 50 poundsAbility to walk and stand for prolonged periods of timeAbility to continuously talk in person or on the phone during shiftWill occasionally encounter cleaning chemicals during shift

This role is subject to successful completion of a background check, after offer acceptance. All background screens will be conducted in accordance with applicable federal, state and local laws.

Salary Description

$42,000 - $45,000 Per Year",45000.0,YEARLY,"Hialeah Gardens, FL",,42000.0,Full-time,,,https://www.linkedin.com/jobs/view/3903802754/?trk=jobs_biz_prem_srch,https://recruiting.paylocity.com/Recruiting/Jobs/Details/2391031?src=LinkedIn,OffsiteApply,1716060833000.0,,Executive,,FULL_TIME,USD,BASE_SALARY,43500.0
30249,Registered Nurse RN - MICU,"Job Summary

Evaluates assigned patients and plans, implements and documents nursing care.Deliver excellent nursing care through evaluations, planning, implementation, and documentation while serving a diverse patient population with complex concerns.Performs various patient tests and administers medications within the scope of practice of the registered nurse.Promotes patients' independence by establishing patient care goals and teaching patients and families to understand conditions, medications, and self-care skills.Relies on experience and judgment to plan and accomplish goals.

Reading Hospital Nursing Video

#READ

Qualifications

Education Requirements

Graduate of an accredited school of Nursing

Experience

Must have previous RN experience

Certification and Licensure

PA Registered Nurse License

Overview

Tower Health, a regional healthcare system, serves communities across multiple counties in Pennsylvania. Its network includes Reading Hospital, Phoenixville Hospital, Pottstown Hospital, and St. Christopher's Hospital for Children (in partnership with Drexel University). Committed to academic medicine and training, Tower Health offers various programs, including residency and fellowship programs, the Drexel University College of Medicine at Tower Health, and the Reading Hospital School of Health Sciences. Additionally, the system provides a wide range of healthcare services, such as Reading Hospital Rehabilitation at Wyomissing, home healthcare via Tower Health at Home, TowerDirect ambulance and emergency response, Tower Health Medical Group, Tower Health Providers (a clinically integrated network), and Tower Health Urgent Care facilities across its service area.

Why Reading Hospital?

2023 America’s 50 Best Hospitals AwardRecipient of Excellence Award: Stroke Care, Neurosciences, Pulmonary Care, and Critical CareMagnet Status Level 1 Trauma CenterRanked Among Top Ten Hospitals in Pennsylvania5-Star Rating for Overall Hospital QualityVizient Graduate Nurse Residency Program for all new RN gradsComprehensive benefits to include earned time off, enhanced tuition assistance, retirement savings with employer match and so much more!

MICU Overview

21 bed ‘Silver’ Level Beacon unitThe Reading Hospital is a Level I Trauma Center and has a rapidly expanding Cardiothoracic and Neurosurgical Programs.Experience working with a variety of different, complex patient populations including Multi-System Organ Dysfunction, Cardiac Arrest, including Therapeutic Temperature Management, Critical Condition(s) with Underlying Psychiatric Component, Respiratory Failure, Hepato-Renal Disease, Acute Kidney Failure requiring Renal Replacement Therapy, CVA w/ post-thrombolytic therapy and/or mechanical thrombectomy.Become a part of our team of talented nurses practicing within a dynamic, patient centered, highly technical patient care area.Benefit from our Shared Governance, Career Advancement Program, and our extensive, specialty education. Enjoy flexible scheduling, tuition reimbursement, generous benefits and pay.",,,"West Reading, PA",,,Full-time,,,https://www.linkedin.com/jobs/view/3894552164/?trk=jobs_biz_prem_srch,https://www.towercareers.org/jobs/51826?mode=apply&iis=LinkedIn&iisn=LinkedIn&lang=en-us,OffsiteApply,1715480103000.0,,,,FULL_TIME,,,
15618,CNA - Certified Nursing Assistant - Part Time Days,"Create Your Career With Us!

Join our not-for-profit organization that has provided over 100 years of housing and services to seniors with a commitment to quality care and service in a Christian environment.

Facility: GSS NE Kearney St John'S Ctr

Location: Kearney, NE

Address: 3410 Central Ave, Kearney, NE 68847, USA

Shift: 8 Hours - Day Shifts

Job Schedule: Part time

Weekly Hours: 20.00

Salary Range: $18.00 - $24.00

Pay Info: $2,500.00 SIGN ON BONUS!

Department Details

 Excellent Dental and Vision Insurance Salary Increases Referral Bonuses Advancement Opportunities Paid Time Off Compassionate Leave Education Assistance Scholarships and Sponsorships Continuing Education Years of Service Recognition Program Verizon and AT&T Discounts Hotel Discounts Competitive Compensation Generous Shift Differentials Direct access to your earnings daily Fun, Family Oriented Work Environment


Job Summary

The Nursing Assistant (NA) serves as caregiver to the resident during the scheduled work period in long term care. Provides resident-centered nursing care and daily living assistance to assigned resident under the supervision of a registered nurse (RN). Knowledge of and delivers age-appropriate care related to the physical and psychological needs of the resident as per care plan. Considered a member of the nursing team and is expected to know, and will be held accountable for, following infection prevention and control policies and Personal Protective Equipment use. Provides assistance with basic health care needs including daily living activities that may include, but are not limited to, bathing, toileting, grooming, dressing/undressing, obtaining and recording vital signs, and providing psychosocial support and other personal care to assigned resident. Assists the resident in transferring, repositioning, and walking using correct and appropriate transfer techniques and equipment and also provides range of motion and passive exercises. Completes tasks related to food preparation and dining, while creating a positive dining experience for the resident. Assists residents with meals and snacks, provides water and supplements as appropriate.

The NA aids providers and nursing staff members with procedures, if needed. Documents resident interactions as needed and the outcomes related to resident care, behavior, activity, and dietary. Communicates resident's changing condition and care related concerns/responses to the charge nurse. Collects non-invasive body fluid specimens and gathers vital signs. Provides housekeeping and laundry services to assist residents with keeping living areas clean and operational. Provides assistance and documentation with wellness and recreational programs and encourages residents to participate. May participate in departmental/organization committees and task forces as needed.

Qualifications

High school graduate or general equivalency diploma (GED) preferred, but not required.Minimum age of 16. Prior clinical or nursing assistant experience in long-term care preferred.Required Certified Nursing Assistant (CNA) certification with the State Board of Nursing, or state certified CNA within four months of date into the position by being enrolled in a training program or in the process of obtaining certification through Endorsement. CNA training and certification required and provided by facility.Satisfactorily completes yearly department specific competency testing and maintains a record of continuing education credits for each year. A minimum of 12 hours continuing education are required annually. Maintains all department specific required certifications.When applicable, for applicable states, certified and registered with the Unlicensed Assistive Person (UAP) Registry.Dependent on facility and required responsibilities, this role may classify as a Sanford Category II Driver requiring a motor vehicle report and proof of valid driver’s license. Also must be medically qualified to perform the essential driving functions of this position as per our Sanford Driving Policy per the leaders request.


Benefits

The Good Samaritan Society offers an attractive benefits package for qualifying full-time and part-time employees. Depending on eligibility, a variety of benefits include health insurance, dental insurance, vision insurance, life insurance, a 401(k) retirement plan, work/life balance benefits, and a generous time off package to maintain a healthy home-work balance. For more information about Total Rewards, visit https://sanfordcareers.com/benefits .

The Good Samaritan Society is an EEO/AA Employer M/F/Disability/Vet. If you are an individual with a disability and would like to request an accommodation for help with your online application, please call 1-877-673-0854 or send an email to talent@sanfordhealth.org .

The Good Samaritan Society has a Drug Free Workplace Policy. An accepted offer will require a drug screen and pre-employment background screening as a condition of employment.

Req Number: R-0182076

Job Function: Nursing

Featured: No",24.0,HOURLY,"Kearney, NE",,18.0,Part-time,,,https://www.linkedin.com/jobs/view/3887912272/?trk=jobs_biz_prem_srch,https://sanfordcareers.com/kearney-ne/cna-certified-nursing-assistant-part-time-days/C208DCE7BFA74F5C8533FAF3D2EECB36/job/,OffsiteApply,1715230526000.0,,Entry level,,PART_TIME,USD,BASE_SALARY,43680.0
120851,Contracts Manager - 1910291,"Looking for a Contract Manager

Objectives of this role

Draft, execute and manage the entire contract lifecycle, in a way that is neutral, beneficial and fair to both parties involvedEnsure that all contractual accountability and duties are met by both the parties signing itPerform periodic reviews of the contracts in place and provide resolution services whenever a situation arisesEducate the stakeholders about their rights and responsibilities as per the conditions laid in the contractEstablish a contract management system to regulate the contract management workflow


Responsibilities

Draft, monitor and review contracts across various verticals and scalesProvide essential contract management services, by resolving conflicts, providing legal advice and renewing and redrafting contractsSupervise the performance of the contract and work towards compliance with the terms and conditions mentioned in itPrepare reports and documentation on the contract performance and run them by the senior contract manager (if any)Update and revise contracts as per the dynamic national legal regulationsCommunicate with internal and external stakeholders on the status of the contracts 


Required Skills And Qualifications

Bachelor’s degree in finance, law, business administration, or a similar disciplineProficiency in contract lawPrior experience working as a contract manager or a related job roleContract drafting and negotiation skillsAccuracy and high attention to detail


",,,"Kansas City, MO",,,Full-time,,,https://www.linkedin.com/jobs/view/3906233147/?trk=jobs_biz_prem_srch,https://app.loxo.co/job/MTQxMzctMzZ3cG9ibTB0dGNyMXVyYw==?source_type=li&t=1713562493,OffsiteApply,1716155253000.0,,Associate,,FULL_TIME,,,
68548,FAMILY MEDICINE PHYSICIAN,"Job SummaryMedical Group Family Medicine - Kutztown is seeking a Full-Time Family Medicine Physician to join their team providing exceptional care in the ambulatory setting. The group currently consists of 2 physicians. This practice utilizes the EPIC EMR, which is universal throughout Tower Health.
Highlights:Ability to see patients of all agesSupportive practice administratorWeekend call 1:7Flexible schedule available (no office hours on the weekend)Strong community presence
Qualifications:Candidates must be BE/BC in Family MedicineCandidates coming out of training are encouraged to apply! - RESIDENCYA valid PA Medical License or the ability to obtain one is required
The Benefits We Offer:Competitive compensation packageComprehensive benefits including health, dental, vision, life and disability insuranceRetirement savings plan with employer automatic contribution and employer match.Malpractice insurance & Tail CoverageEducational Loan AssistanceResidency/Fellowship StipendGenerous paid time-off allowanceCME time and moneyRelocation assistanceH1B & Green Card SupportSpousal/Domestic Partner Job Search SupportSupportive health system to advance goals",,,"Kutztown, PA",,,Full-time,,,https://www.linkedin.com/jobs/view/3902779760/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1715993520000.0,,Mid-Senior level,,FULL_TIME,,,
119888,Radio Frequency Engineer Entry Level Opportunity,"When you join Verizon

Verizon is one of the world's leading providers of technology and communications services, transforming the way we connect around the world. We're a human network that reaches across the globe and works behind the scenes. We anticipate, lead, and believe that listening is where learning begins. In crisis and in celebration, we come together-lifting up our communities and striving to make an impact to move the world forward. If you're fueled by purpose, and powered by persistence, explore a career with us. Here, you'll discover the rigor it takes to make a difference and the fulfillment that comes with living the #NetworkLife.

What you'll be doing...

From internships and co-ops to leadership development programs and entry-level roles, Verizon's award-winning Campus program allows you to take the next step toward shaping your future. Our Campus program has been recognized with awards like WayUp's Top 100 Internship Programs and RippleMatch's Campus Forward Award. Why the accolades? It's easy. We quickly immerse our early in career V Teamers in meaningful work that delivers tangible business impact. Plus, you'll have the opportunity to network with V Teamers across the globe, find mentors, and establish meaningful friendships that could last a lifetime. Start here and go anywhere, with opportunities across the business. When students like you join the V Team, our network becomes even stronger.

This position is for an entry level Radio Frequency Engineer role in the Verizon Global Network & Technology organization. You will be learning how to use traffic tools to understand when you need to add solutions for capacity relief. You will also learn to use the System Performance tools to improve KPIs and the customer experience.

As a Radio Frequency Engineer you will:
Work with regional traffic/RF Engineers to ensure that triggers, low throughput and imbalanced sectors are addressed in the assigned sub-market.
Participating in ongoing discussions with developers and tools leads to addressing the business needs and objectives regarding tool capability, processes, and data integrity.
Initiatives supported include: C-band, SNAP, skipped sites, mmWave, SGFI, STL, Relocations, Macro, Small Cells, Modifications, Root.
You must be currently enrolled in a degree program and be in good academic standing to be considered.

In this hybrid full time position, you'll have a defined work location that includes work from home and assigned office days set by your manager. This hybrid role will be based out of Bellevue, WA . 

If you are interested in other roles and locations in addition to this one, please submit your application to those postings as well in order to be considered.

What we're looking for...

You're a motivated self-starter. Never satisfied with the status quo, you're always trying to perform at your personal best. You thrive in a fast-paced environment where new challenges come up every day. You are flexible, dependable, and work well in varying environments. Learning quickly is personally rewarding and inspires you to take smart risks.

You'll need to have:
Current enrollment in a Bachelor's or Master's degree majoring in Telecommunications, Information Technology, Engineering, Data Analytics, Data Science, Computer Science or related majors with a completion date of June 2024.
Coursework or demonstrated experience with networking technologies.
Authorization to work in the U.S. without restrictions or need for future sponsorship.
Willingness to travel and work in Bellevue, WA.

Even better if you have one or more of the following:
Demonstrated strong written and communication skills.
Experience working with Microsoft Office and/or Google Suite
Basic experience with Data Analytics, Business Intelligence, or Project Management.
Network Certifications (CCNA, CCNP, or similar).

If Verizon and this role sound like a fit for you, we encourage you to apply even if you don't meet every ""even better"" qualification listed above.

Where you'll be working

In this hybrid role, you'll have a defined work location that includes work from home and assigned office days set by your manager.

Scheduled Weekly Hours
40

Equal Employment Opportunity

We're proud to be an equal opportunity employer - and celebrate our employees' differences, including race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, and Veteran status. At Verizon, we know that diversity makes us stronger. We are committed to a collaborative, inclusive environment that encourages authenticity and fosters a sense of belonging. We strive for everyone to feel valued, connected, and empowered to reach their potential and contribute their best. Check out our diversity and inclusion page to learn more.

Our benefits are designed to help you move forward in your career, and in areas of your life outside of Verizon. From health and wellness benefits, short term incentives, 401(k) Savings Plan, stock incentive programs, paid time off, parental leave, adoption assistance and tuition assistance, plus other incentives, we've got you covered with our award-winning total rewards package. For part-timers, your coverage will vary as you may be eligible for some of these benefits depending on your individual circumstances.

If you are hired into a California, Colorado, Connecticut, Hawaii, Nevada, New York, Rhode Island or Washington work location, the compensation range for this position is between $53,000.00 and $98,000.00 annually based on a full-time schedule. The salary will vary depending on your location and confirmed job-related skills and experience. This is an incentive based position with the potential to earn more. For part time roles, your compensation will be adjusted to reflect your hours.",,,"Bellevue, WA",,,Full-time,,,https://www.linkedin.com/jobs/view/3906226813/?trk=jobs_biz_prem_srch,https://www.aplitrak.com/?adid=YmJnZW5lcmljLjY1NTU5LjE1NTBAdmVyaXpvbndvcmtkYXkuYXBsaXRyYWsuY29t,OffsiteApply,1716154111000.0,,Entry level,,FULL_TIME,,,
118016,Senior Manufacturing Engineer,"A rapidly evolving medical device company seeks an experienced Manufacturing Engineer to play a critical role in executing the company's strategy by contributing to both products and processes that support our customers. 
About UsC2Dx is a medical device company that acquires and invests in underserved products to propel their impact worldwide. Founded in early 2019 by industry experts, C2Dx is committed to providing leading medical products and superior customer service while continually evolving to ensure that healthcare providers have the devices and technology they need. To learn about our exciting products, see here.
About the RoleThe Senior Manufacturing Engineer is responsible for providing manufacturing engineering services to support efficient manufacturing processes. Come be part of a truly collaborative culture where you’ll learn from industry experts about building a team, leadership, manufacturing, and how to grow a company.
Responsibilities:Maintain and improve controlled technical documents such as prints, procedures, bill of materials and routers.Support a wide variety of processing applications such as machining, finishing, forging, casting, cleaning, heat treating, bonding, molding, etc.Conduct feasibility studies to estimate product cost and analyze capital equipment, capacity, and capability requirements. Improve process methods which meet performance and quality requirements.Execute project plans and schedules for acquisitions, CAPAs, improvement, various engineering projects, and process flow projects, not limited to just the shop floor.Communicate (written and verbal) with appropriate personnel from other departments. Partner with cross-functional departments to make process and procedure recommendations.Provide training and guidance to entry-level engineers.Must develop an understanding of lean manufacturing.Develop an understanding of problem-solving methods and learn to lead kaizen events.Will support daily needs of the shop floor, including the processing of all non-conformances and work on root cause problem solving.
About You:Experience in an engineering role in a manufacturing environment.Proficiency in CAD and/or Solidworks.Experience working in a GMP, FDA, ISO, and USDA-regulated environment.Familiarity with statistical analysis software (Minitab).Familiarity with cGMP and ISO 13485 regulations and practices.Microsoft Excel software and Microsoft Word software.A minimum of a Bachelor of Science Degree in an Engineering discipline is required.
Why work for us?Unique opportunity to work on the business and engineering sides of the organizationYou will learn about manufacturing of diverse product lines to propel your career growthOpportunity to own an entire project and participate in new product development for a new productOpportunities for upward and internal mobility and professional developmentAccess to leadership with a wealth of experience in a flat organizationA culture with a high level of transparency where your voice is heard and respectedWe thrive on identifying untapped potential of all team members to cross train and help them reach their professional and personal goalsCompetitive compensation and benefits package",110000.0,YEARLY,"Schoolcraft, MI",,90000.0,Full-time,,,https://www.linkedin.com/jobs/view/3906085096/?trk=jobs_biz_prem_srch,https://amycelltalent.applytojob.com/apply/4EMvWY8bjw/Senior-Manufacturing-Engineer?source=LI,ComplexOnsiteApply,1716143102000.0,,Mid-Senior level,,FULL_TIME,USD,BASE_SALARY,100000.0
123007,Campus Retail Associate (Seasonal),"Introduction 

Our campus stores serve as a vibrant hub of college life and learning. We believe in creating retail and learning experiences that engage students, support faculty, and build alumni loyalty. Together, our teams and stores work to elevate lives through education.

Overview

You can enhance your success by joining our dynamic team today! As a Campus Retail Associate, you will provide superior customer service to our customers and support store leaders in all facets of retail operations to ensure the store is operating at optimal performance.

 Perks 

 Flexible Scheduling  Sick time accrual from date of hire  Generous employee discount – including course materials & textbooks  Management Development Program Opportunities  The opportunity to add valuable, transferrable experience and skills to your resume 

Responsibilities

 Expectations: 

 Assist with processing sales transactions involving cash, credit, or financial aid payments.  Provide a friendly atmosphere by greeting customers and focusing on their positive experience throughout their visit.  Take initiative to support store operations including operating equipment and cash register while ensuring speed of service and accurate transactions.  Keep the store looking fresh by shelving, arranging, cleaning, and organizing products or space within the store. Seasonal positions require work during peak periods (i.e. semester starts and ends), occasional weekends, and flexibility in scheduling to work periodically during the school year.

Physical Demands:

 Frequent movement within the store to access various departments, areas, and/or products  Ability to stand in a stationary position for extended periods.  Frequent lifting.  Occasional reaching, stooping, kneeling, crouching, and climbing ladders. 

Covid-19 Considerations

Our stores comply with all applicable federal, state, and local requirements and/or recommendations regarding social distancing and sanitizing. In accordance with individual campus requirements, positions may require confirmation of vaccination. The use of face masks throughout the day and while on campus may also be expected or required.

Qualifications

 Candidates must be a minimum of 18 years of age to be considered for employment. Confident and comfortable engaging customers to deliver an elevated experience. An outstanding attitude with the willingness to learn and the capability to excel in a fast-paced, team environment. Basic math, keyboarding, and data entry skills. Flexible availability throughout the academic year including peak periods

 EEO Statement 

Barnes & Noble College is an Equal Employment Opportunity and Affirmative Action Employer committed to diversity in the workplace. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability or protected veteran status.",,,"Baltimore, MD",,,Temporary,,,https://www.linkedin.com/jobs/view/3906256322/?trk=jobs_biz_prem_srch,https://careers-bncollege.icims.com/jobs/12748/campus-retail-associate-%28seasonal%29/job,OffsiteApply,1716160007000.0,,Mid-Senior level,,TEMPORARY,,,
52565,Heavy Equipment Field Technician 1,"Come work for one of the largest equipment dealers in North America! Are you a Technician/Mechanic with diesel, agricultural, or heavy equipment repair experience? If so, then we want you on our team!

Technicians are at the backbone of our organization; therefore, we provide them with the tools and resources to be successful:

 Company truck (parked at home each day)  Company fuel card  Company paid cell phone  Manufacturer technical training programs  Tool insurance  Paid time off  Paid holidays  Benefits will be administered through the local Union  Competitive wages  Company uniforms provided 

Our construction equipment group is seeking a full-time heavy equipment field service technician for our New Hudson, MI branch. This is a union position and will be part of Operating Engineers Local 324.

A Field Technician must be familiar with and able to diagnose and repair any systems problem that occurs for the majority (greater than 50%) of equipment the Company sells. A Field Technician is qualified to successfully, efficiently, and accurately perform the cleaning, maintenance, visual inspection, removal, installation with the help of proper manuals, report writing and the disassembly, assembly, parts reuse evaluation, reconditioning, ordering the correct parts, measuring, adjusting, diagnosing, testing, troubleshooting and equipment failure analysis of their assigned Service department or specialized area, with minimal technical assistance. Also, a Field Technician may be asked to perform minor welding, fabricating, and machining repairs. A Field Technician must become Volvo Level 3 certified. A Field Technician will be required to maintain a Chauffeurs or CDL B endorsement on their driver license and a clean driving record in accordance with the Company’s insurance carrier’s requirements. Must be able to meet or exceed quoted labor for repairs related to this level, with minimal rework.

The primary responsibilities of the position consist of, but are not limited to:

 Complete inspections  Removal and installation of parts  Implementation of optional accessories  Maintenance  Basic diagnosis and troubleshooting  Testing  General repairs  Upkeep of the service truck  Responsible for the inventory of onboard parts  Incorporate Alta's Guiding Principles into daily activities  Performs other duties as assigned  Consistent, regular, and reliable attendance including being ready for work at the designated start time 

We encourage our Technicians to participate in our in-house training program, allowing them to acquire additional skills in diagnosis and troubleshooting and further advance their career as a technician. Also, company uniforms are provided!

Qualifications

 Three years of previous heavy equipment or over the road (OTR) repair experience is required  Excellent mechanical aptitude with a solid understanding of the following systems: engine, power train, hydraulics and electrical  Possess own tools  A positive attitude and high energy  Must have a clean driving record  Computer programs - Microsoft Outlook, Volvo VCADS  Language Skills - Intermediate: Ability to read and interpret documents such as safety rules, operating and maintenance instructions, and procedure manuals. Ability to write routine reports and correspondence. Ability to speak effectively before groups of customers or employees of the organization.  Mathematical Skills - Basic: Ability to add and subtract two digit numbers and to multiply and divide with 10's and 100's. Ability to perform these operations using units of American money and weight measurement, volume, and distance.  Reasoning Ability - Intermediate: Ability to apply common sense understanding to carry out instructions furnished in written, oral, or diagram form. Ability to deal with problems involving several concrete variables in standardized situations. 

Physical Demands/Work Environment

 Physical/Sensory Functions: Regularly will stand, walk, use hands, reach with hands; Frequently will talk/hear, climb or balance, stoop, kneel, crouch or crawl ; Occasionally will sit.  Lift and/or Move Functions: Regularly will lift up to 25 pounds; Frequently will lift 26 to 50 pounds; Occasionally will lift from 51 to 100 plus pounds.  Work Environment: Regularly will work near moving mechanical parts; Frequently will be exposed to fumes or airborne particles, outdoor weather conditions; Occasionally will work in wet or humid conditions (non-weather), risk of electrical shock, vibration. 

About Alta

Culture is Job #1. Alta Equipment Group prides itself in living by our Guiding Principles: Invest in the Best, Passion for Excellence, Customers for Life, Mutual Respect and One Team. More than an equipment company, Alta is an innovator of solutions, delivering diverse products and unrivaled support centered on building lasting customer relationships.

If you have a passion for excellence and are ready to make a difference within our organization, we’re ready for you. Whether it’s selling the world’s-best big iron, rolling up your sleeves and servicing our industry-leading construction and material handling product brands or being a difference maker behind the scenes, we can use your skillset.

At Alta Equipment Group, we believe in mutual respect and are committed to diversity while inspiring our employees to reach their maximum potential. Voted a “Top Work Place USA”, our employees across North America are committed to excellence. It’s the Alta way.

So, let’s start the conversation. Click the link to apply and begin the journey of a lifetime.

What We Look For

At Alta Equipment Group, we are looking for candidates who are a cultural fit with our organization and understand that every task and job goes toward fostering customers for life. Along with that, a great attitude that embraces mutual respect and delivering a consistent high energy level that exudes a passion for excellence. Also, we are searching for a skill set that has a high aptitude for the position with a continual focus on investing in one’s profession through additional training and learning.

Other Opportunities At Alta

Please visit our careers page at altg.jobs to view other openings that may be of interest to you!

Alta Equipment Group is an equal opportunity employer. This means we do not discriminate on account of age, race, religion, color, sex, national origin, ancestry, citizenship, height, weight, marital status, familial status, disability, genetic information, military status, veteran status, misdemeanor arrest record, or membership in any other classification protected under applicable law. If you believe the Company has violated its equal employment opportunity policy in any way, please contact recruiting@altg.com immediately!

Apply Now",,,"South Lyon, MI",,,Full-time,,,https://www.linkedin.com/jobs/view/3901496030/?trk=jobs_biz_prem_srch,https://us232.dayforcehcm.com/CandidatePortal/en-US/altg/Posting/View/3532,OffsiteApply,1715800118000.0,,Entry level,,FULL_TIME,,,
